frame,top_x,top_y,bot_x,bot_y
9317,285,49,319,969
9318,284,97,362,878
9319,286,84,367,848
9320,289,84,365,848
9321,304,70,322,936
9322,309,125,333,932
9323,319,84,331,928
9324,333,151,333,924
9325,324,138,332,928
9326,325,138,327,932
9327,323,131,328,899
9328,325,125,330,874
9329,325,145,330,878
9330,327,151,331,882
9331,319,91,332,856
9332,318,77,331,891
9333,308,42,330,861
9334,311,35,332,891
9335,309,49,332,895
9336,299,111,333,916
9337,256,84,332,948
9338,298,84,333,912
9339,288,35,333,916
9340,297,0,332,952
9341,291,56,338,920
9342,298,91,330,952
9343,298,84,332,891
9344,303,91,334,891
9345,311,35,342,887
9346,323,77,346,887
9347,318,84,346,874
9348,335,28,350,878
9349,344,42,357,882
9350,348,35,362,856
9351,360,28,369,887
9352,368,7,374,903
9353,377,-14,371,895
9354,386,-21,379,882
9355,390,-95,383,899
9356,396,-14,381,887
9357,400,21,381,907
9358,392,-36,381,895
9359,393,-7,380,895
9360,388,0,383,887
9361,394,7,427,781
9362,395,-50,389,887
9363,408,-28,389,878
9364,402,-36,394,856
9365,404,-28,409,839
9366,398,0,415,852
9367,407,0,425,848
9368,405,42,437,835
9369,400,63,438,830
9370,399,-36,440,795
9371,406,91,430,835
9372,397,84,428,817
9373,409,77,422,813
9374,398,35,418,813
9375,381,0,417,804
9376,378,21,404,795
9377,365,84,402,799
9378,337,91,389,808
9379,326,84,385,844
9380,332,104,383,817
9381,318,84,380,817
9382,295,216,374,856
9383,293,223,376,852
9384,293,235,379,822
9385,299,254,378,830
9386,295,248,371,822
9387,292,216,363,835
9388,279,197,360,848
9389,252,210,350,874
9390,252,203,339,874
9391,235,260,326,878
